city,lat,lng,max_temp,humidity,cloudiness,wind speed,country,date
Margate,51.3813,1.3862,39.0,61,100,7.0,GB,1613344549
Bonthe,7.5264,-12.505,78.8,88,20,5.75,SL,1613344549
Saint-Philippe,-21.3585,55.7679,77.0,78,20,4.61,RE,1613344549
Cayenne,4.9333,-52.3333,80.6,74,90,9.22,GF,1613344549
Tura,25.5198,90.2201,60.48,47,0,2.19,IN,1613344549
Mahébourg,-20.4081,57.7,75.2,88,20,3.44,MU,1613344549
Mar del Plata,-38.0023,-57.5575,69.01,94,90,3.44,AR,1613344550
Tasiilaq,65.6145,-37.6368,30.2,80,90,8.05,GL,1613344550
Skibbereen,51.55,-9.2667,48.2,93,75,18.41,IE,1613344550
Mutoko,-17.397,32.2268,64.89,100,100,5.12,ZW,1613344550
Outjo,-20.1167,16.15,64.62,88,59,9.98,NA,1613344550
Eyl,7.9803,49.8164,71.35,86,11,10.13,SO,1613344550
Sitka,57.0531,-135.33,37.4,41,75,4.61,US,1613344551
Kaitangata,-46.2817,169.8464,61.0,90,94,11.99,NZ,1613344551
Cape Town,-33.9258,18.4232,70.0,59,75,9.22,ZA,1613344329
Kapaa,22.0752,-159.319,78.8,73,20,10.36,US,1613344551
Charters Towers,-20.1,146.2667,79.36,77,79,11.05,AU,1613344551
Beringovskiy,63.05,179.3167,-0.04,91,100,22.86,RU,1613344551
Pisco,-13.7,-76.2167,75.2,69,0,21.85,PE,1613344552
Uarini,-2.99,-65.1083,77.0,88,90,5.75,BR,1613344552
Shar,49.5886,81.0453,9.16,90,7,14.14,KZ,1613344552
Wanparti,16.3667,78.0667,63.93,54,34,1.9,IN,1613344552
Bilibino,68.0546,166.4372,2.32,87,99,1.48,RU,1613344552
Zhuhai,22.2769,113.5678,64.0,94,0,4.61,CN,1613344467
Bangassou,4.7413,22.8184,74.7,43,32,2.42,CF,1613344553
Abu Dhabi,24.4667,54.3667,64.4,88,0,7.49,AE,1613344553
Port Elizabeth,-33.918,25.5701,69.8,88,75,17.27,ZA,1613344553
Umluj,25.0213,37.2685,75.58,59,0,3.15,SA,1613344554
Dikson,73.5069,80.5464,-19.62,87,100,15.05,RU,1613344554
Finschhafen,-6.6024,147.8681,84.33,72,100,9.31,PG,1613344554
Prieska,-29.6641,22.7474,73.72,37,82,22.24,ZA,1613344554
East London,-33.0153,27.9116,74.25,82,73,11.03,ZA,1613344554
Norman Wells,65.282,-126.8329,-16.6,76,75,2.3,CA,1613344555
Zanjān,36.6736,48.4787,40.57,60,0,5.08,IR,1613344285
Hambantota,6.1241,81.1185,75.51,88,98,7.38,LK,1613344555
Fukuechō,32.6881,128.8419,55.4,76,75,12.66,JP,1613344555
Lithakia,37.7167,20.8333,39.2,87,85,3.44,GR,1613344555
Saint-François,46.4154,3.9054,30.99,86,0,7.31,FR,1613344555
College,64.8569,-147.8028,3.99,71,1,0.65,US,1613344555
Mae Sai,20.4335,99.8762,60.8,100,3,3.44,TH,1613344555
Nanortalik,60.1432,-45.2371,23.56,93,48,9.01,GL,1613344555
Cururupu,-1.8283,-44.8683,77.0,90,96,4.68,BR,1613344555
Salalah,17.0151,54.0924,68.0,56,0,3.44,OM,1613344556
Flinders,-34.5833,150.8552,72.0,66,85,5.99,AU,1613344556
Geraldton,-28.7667,114.6,69.8,83,14,1.14,AU,1613344556
Namatanai,-3.6667,152.4333,83.08,74,65,4.97,PG,1613344556
Forsytheganj,52.6333,29.7333,11.26,96,95,4.92,BY,1613344556
Vapnyarka,48.5348,28.7436,18.0,88,70,8.34,UA,1613344556
Wagga Wagga,-35.1167,147.3667,71.01,68,0,5.75,AU,1613344556
Butaritari,3.0707,172.7902,80.28,77,91,20.33,KI,1613344557
Hermanus,-34.4187,19.2345,64.0,87,86,3.0,ZA,1613344557
Korkmaskala,43.0238,47.2944,37.4,75,90,8.95,RU,1613344557
Cotonou,6.3654,2.4183,84.2,89,40,12.66,BJ,1613344557
Chaupimarca,-10.4333,-76.5333,45.12,76,87,1.34,PE,1613344557
Vardø,70.3705,31.1107,17.6,73,20,16.11,NO,1613344557
Yellowknife,62.456,-114.3525,-2.99,77,1,11.5,CA,1613344558
Nyurba,63.2842,118.3319,-29.31,84,73,5.17,RU,1613344558
Chokurdakh,70.6333,147.9167,-8.12,89,100,13.51,RU,1613344558
São Filipe,14.8961,-24.4956,70.52,77,33,11.21,CV,1613344558
Quanzhou,24.9139,118.5858,55.4,94,0,4.03,CN,1613344558
Port Moresby,-9.4431,147.1797,75.2,100,90,3.44,PG,1613344271
Carutapera,-1.195,-46.02,77.2,90,100,7.74,BR,1613344558
Kruisfontein,-34.0033,24.7314,69.01,89,100,1.99,ZA,1613344559
Karratha,-20.7377,116.8463,79.74,77,23,6.31,AU,1613344559
Severo-Kuril'sk,50.6789,156.125,25.88,92,75,10.25,RU,1613344559
Port Alfred,-33.5906,26.891,70.0,94,76,5.01,ZA,1613344559
Itarema,-2.9248,-39.9167,79.74,84,45,10.56,BR,1613344559
Coyhaique,-45.5752,-72.0662,66.2,37,0,10.36,CL,1613344559
Port Blair,11.6667,92.75,77.0,88,40,4.61,IN,1613344559
Tashtyp,52.7939,89.8983,20.89,94,100,2.91,RU,1613344559
Conceição do Araguaia,-8.2578,-49.2647,76.87,89,100,1.32,BR,1613344560
Berbera,10.4396,45.0143,73.49,74,0,6.73,SO,1613344560
Tadine,-21.55,167.8833,82.76,68,74,6.02,NC,1613344560
Comodoro Rivadavia,-45.8667,-67.5,60.8,59,0,12.66,AR,1613344392
Vao,-22.6667,167.4833,79.45,78,23,7.78,NC,1613344560
São Gabriel da Cachoeira,-0.1303,-67.0892,76.86,95,100,0.94,BR,1613344560
Kisangani,0.5167,25.2,75.51,77,100,1.7,CD,1613344560
Whitehorse,60.7161,-135.0538,1.99,77,1,4.12,CA,1613344561
Klaksvík,62.2266,-6.589,44.6,93,75,36.82,FO,1613344561
San Policarpo,12.1791,125.5072,78.21,88,95,11.36,PH,1613344561
Ust-Nera,64.5667,143.2,-19.64,78,63,1.77,RU,1613344561
Lucapa,-8.4192,20.7447,67.3,93,100,1.21,AO,1613344561
Banda Aceh,5.5577,95.3222,78.19,78,0,11.18,ID,1613344561
Piaçabuçu,-10.4056,-36.4344,77.79,77,53,8.68,BR,1613344561
Tra Vinh,9.9347,106.3453,67.86,90,69,3.89,VN,1613344562
Bara,10.3744,10.7288,75.67,18,0,9.42,NG,1613344562
Upernavik,72.7868,-56.1549,-2.07,90,99,1.99,GL,1613344562
Marsh Harbour,26.5412,-77.0636,75.96,86,21,14.99,BS,1613344562
Katangli,51.7102,143.2326,11.05,96,87,6.82,RU,1613344562
Saddiqabad,28.3062,70.1307,61.81,29,0,5.84,PK,1613344562
Karpathos,35.507,27.2132,55.4,94,3,25.32,GR,1613344563
Barranca,-10.75,-77.7667,73.83,75,5,9.57,PE,1613344563
Pevek,69.7008,170.3133,-18.78,87,46,1.88,RU,1613344563
Nurota,40.5614,65.6886,39.2,70,0,4.61,UZ,1613344563
Amapá,1.0,-52.0,73.36,97,100,5.28,BR,1613344563
Dunedin,-45.8742,170.5036,62.01,82,78,1.01,NZ,1613344563
Chingirlau,51.095,54.0814,10.02,94,98,6.85,KZ,1613344563
